epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,81.1298,0.98015,3.00289,1.13668,0.00902,1,0.46066,0.36314,0.56556,2.84623,0.88826,0.00060012,0.00020004,0.00060012,0.00020004,0.00060012,0.00020004,0.00060012,0.00020004
2,172.88,0.8131,2.91521,1.0862,0.0081,1,0.51474,0.41845,0.56793,2.83548,0.88519,0.0012255,0.000408498,0.0012255,0.000408498,0.0012255,0.000408498,0.0012255,0.000408498
3,259.807,0.70408,2.73679,1.02307,0.00793,1,0.5794,0.49501,0.56045,2.78,0.87796,0.00182512,0.000608375,0.00182512,0.000608375,0.00182512,0.000608375,0.00182512,0.000608375
4,340.805,0.65928,2.39709,0.99616,0.00807,1,0.6089,0.5219,0.54858,2.60987,0.87154,0.00239901,0.00079967,0.00239901,0.00079967,0.00239901,0.00079967,0.00239901,0.00079967
5,424.126,0.64968,2.00763,0.99872,0.9548,0.40481,0.59316,0.50019,0.54262,2.29722,0.86198,0.00294715,0.000982383,0.00294715,0.000982383,0.00294715,0.000982383,0.00294715,0.000982383
6,545.316,0.62545,1.59674,0.958,0.55041,0.74824,0.64028,0.5503,0.5654,1.7842,0.88487,0.00346954,0.00115651,0.00346954,0.00115651,0.00346954,0.00115651,0.00346954,0.00115651
7,633.193,0.62777,1.43039,0.97495,0.58894,0.75926,0.68706,0.56546,0.56577,1.60111,0.88912,0.00396619,0.00132206,0.00396619,0.00132206,0.00396619,0.00132206,0.00396619,0.00132206
8,722.686,0.62306,1.17821,0.95261,0.47288,0.85185,0.61413,0.52373,0.55318,1.40964,0.87944,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,873.358,0.60671,1.16399,0.94924,0.49272,0.92593,0.6183,0.52713,0.56245,1.14317,0.87585,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,957.016,0.62796,1.11157,0.95645,0.5201,0.98148,0.64209,0.5534,0.53848,1.00693,0.86818,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,1038.6,0.58517,0.97412,0.93009,0.68791,0.98148,0.79601,0.67192,0.55707,0.94076,0.87888,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,1113.78,0.5752,1.02624,0.93789,0.93616,0.96296,0.97241,0.82085,0.56785,0.85215,0.8897,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,1205.55,0.56309,0.92171,0.94208,0.9763,0.98148,0.99322,0.83686,0.58431,0.78462,0.89039,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,1283.48,0.57477,0.86156,0.93976,0.99709,0.9981,0.995,0.85665,0.55438,0.74379,0.88132,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,1359.52,0.58391,0.86168,0.94177,0.9962,0.98148,0.99397,0.84254,0.55321,0.71889,0.88565,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,1436.8,0.57294,0.78192,0.92374,0.9974,0.98148,0.99306,0.8401,0.58232,0.68776,0.89002,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
